0 THERMODYNAMIC AND TRANSPORT PROPERTIES FOR METHANE PC=45.66 ATM,TC=190.77 K,ROC=.162 G/CC
 THERMODYNAMIC PROPERTY TABLE --- CH4
           1.00 ATMOSPHERE ISOBAR
   T     density  entropy  enthalpy    Cp     Cv       c    gamma
    K    gm/cc     J/G-K     J/gm    J/gm-K  J/gm-K  cm/sec
  95.0  4.4692E-01   4.40   231.00   2.6948  1.2464 1819.014 2.162
 105.0  4.3266E-01   4.71   261.80   3.3877  1.9142 1492.410 1.770
 115.0  1.7608E-03   9.57   803.93   2.2001  1.6037  275.931 1.372
 125.0  1.6068E-03   9.75   825.76   2.1688  1.5916  289.118 1.363
 135.0  1.4793E-03   9.91   847.33   2.1465  1.5824  301.541 1.356
 145.0  1.3715E-03  10.07   868.71   2.1304  1.5757  313.333 1.352
 155.0  1.2790E-03  10.21   889.95   2.1190  1.5712  324.590 1.349
 165.0  1.1986E-03  10.34   911.10   2.1112  1.5686  335.377 1.346
 175.0  1.1279E-03  10.47   932.19   2.1065  1.5678  345.744 1.344
 185.0  1.0654E-03  10.58   953.24   2.1044  1.5689  355.730 1.341
 195.0  1.0095E-03  10.69   974.28   2.1048  1.5717  365.364 1.339
 205.0  9.5932E-04  10.80   995.34   2.1074  1.5763  374.671 1.337
 215.0  9.1396E-04  10.90  1016.44   2.1123  1.5828  383.669 1.335
 225.0  8.7275E-04  11.00  1037.60   2.1192  1.5911  392.377 1.332
 235.0  8.3514E-04  11.09  1058.83   2.1283  1.6013  400.808 1.329
 245.0  8.0066E-04  11.18  1080.17   2.1394  1.6133  408.977 1.326
 255.0  7.6895E-04  11.26  1101.63   2.1526  1.6273  416.895 1.323
 265.0  7.3967E-04  11.35  1123.23   2.1678  1.6431  424.574 1.319
 275.0  7.1256E-04  11.43  1144.99   2.1849  1.6609  432.026 1.316
 285.0  6.8737E-04  11.50  1166.93   2.2040  1.6805  439.262 1.312
 295.0  6.6392E-04  11.58  1189.08   2.2250  1.7019  446.293 1.307
 315.0  6.2152E-04  11.73  1234.04   2.2724  1.7501  459.782 1.298
 335.0  5.8424E-04  11.87  1280.02   2.3267  1.8049  472.580 1.289
 355.0  5.5119E-04  12.01  1327.15   2.3869  1.8655  484.775 1.279
 375.0  5.2170E-04  12.14  1375.53   2.4521  1.9311  496.449 1.270
 395.0  4.9520E-04  12.27  1425.25   2.5211  2.0005  507.684 1.260
 400.0  4.8900E-04  12.30  1437.90   2.5388  2.0182  510.434 1.258
 500.0  3.9103E-04  12.90  1709.48   2.8815  2.3618  562.263 1.220
 600.0  3.2580E-04  13.45  2006.84   2.9988  2.4796  613.351 1.209
 THERMODYNAMIC PROPERTY TABLE --- CH4
          45.66 ATMOSPHERE ISOBAR
   T     density  entropy  enthalpy    Cp     Cv       c    gamma
    K    gm/cc     J/G-K     J/gm    J/gm-K  J/gm-K  cm/sec
  95.0  4.4980E-01   4.37   238.13   2.6720  1.2798 1833.287 2.088
 105.0  4.3614E-01   4.67   268.66   3.3553  1.9487 1520.254 1.722
 115.0  4.2219E-01   4.99   303.49   3.5610  2.1228 1365.531 1.678
 125.0  4.0773E-01   5.29   339.14   3.5581  2.0586 1253.943 1.728
 135.0  3.9246E-01   5.56   374.75   3.5479  1.9487 1153.556 1.821
 145.0  3.7597E-01   5.82   411.33   3.6880  1.9375 1042.145 1.903
 155.0  3.5761E-01   6.08   450.32   3.8992  1.9204  929.711 2.030
 165.0  3.3631E-01   6.34   492.27   4.2502  1.9033  810.353 2.233
 175.0  3.0962E-01   6.61   536.93   4.9550  1.8949  674.458 2.615
 185.0  2.6884E-01   6.91   590.85   7.4219  1.9184  496.425 3.869
 195.0  8.7437E-02   8.08   815.08   8.7809  1.9995  280.250 4.392
 205.0  6.6761E-02   8.38   875.12   4.6272  1.8822  310.713 2.458
 215.0  5.7402E-02   8.58   915.99   3.6903  1.8188  332.752 2.029
 225.0  5.1360E-02   8.74   950.50   3.2567  1.7792  350.797 1.830
 235.0  4.6937E-02   8.87   981.72   3.0065  1.7542  366.374 1.714
